id;name;city;begin;system;tours_count;min_rating;time_on_game
976987;Хогевен 2019;Лас-Росас;22.08;circular;11;2259;137
420409;Пойковский 1997;Авилес;18.09;Olympic;7;2448;172
668791;Балтийская цепь 2014;Любляна;16.02;circular;15;2282;117
380316;Реджо-нель-Эмилия 1958;Загреб;22.09;Olympic;6;2289;35
795383;Аэрофлот Опен 1961;Вильявисиоса;25.02;Swiss;10;2244;168
771873;Макартур 1997;Сьюдад-Реаль;09.12;circular;14;2263;148
104868;Пойковский 2009;Будапешт;26.07;Swiss;10;2553;90
426890;Алушта 1996;Сараево;20.06;Swiss;6;2471;136
441193;Кубок мира 1951;Санкт-Петербург;16.04;Swiss;8;2649;148
752511;Кубок мира 2017;Алма-Ата;24.05;Swiss;13;2386;129
841319;Тилбург 1995;Эль-Пуэрто-де-Санта-Мария;07.11;Swiss;15;2550;65
427432;Хогевен 1971;Фигерас;23.09;circular;11;2361;180
481784;Шамкович 2023;Рига;10.08;Olympic;7;2298;124
141771;Турнир претендентов 1986;Белград;12.07;Olympic;14;2279;129
635256;Цюрих 2020;Вроцлав;03.05;Swiss;13;2291;112
807469;Европа 2004;Таллин;16.09;Swiss;10;2462;76
329939;Европа 1963;Виго;03.09;Swiss;8;2525;69
693414;Гашиш 1996;Хихон;05.06;Swiss;12;2384;64
381569;Вейк-ан-Зее 1956;Вальядолид;08.09;Olympic;9;2321;82
848865;Вейк-ан-Зее 2008;Киев;24.11;Olympic;9;2531;179
549826;Цюрих 1970;Бильбао;14.01;Olympic;8;2305;112
608363;Дортмунд 1986;Барселона;13.02;Olympic;14;2311;81
498156;Пойковский 1969;Таллин;13.10;circular;15;2269;156
848701;Мемориал Таля 1963;Варшава;17.11;Olympic;14;2393;143
218950;Вейк-ан-Зее 1974;Барселона;15.04;Olympic;12;2312;146
510446;Вена 1971;Мурсия;01.07;Olympic;13;2524;15
572283;Гран-при ФИДЕ 1963;Мурсия;23.06;Swiss;9;2609;21
804703;Биль 2007;Семана;16.08;circular;12;2599;51
890707;Линарес 1976;Луго;07.04;Olympic;9;2202;137
570202;Турнир претендентов 1984;Хихон;10.08;Swiss;15;2259;155
797808;Европа 2022;Монсон;17.10;circular;8;2329;113
130281;Сент-Луис 2003;Эль-Пуэрто-де-Санта-Мария;01.02;Swiss;14;2430;168
594555;Реджо-нель-Эмилия 1974;Прага;24.06;Olympic;6;2555;149
591931;Ставангер 2020;Махадаонда;03.04;Olympic;12;2566;20
721131;Пальма 1983;Астана;16.03;circular;13;2279;139
117305;Алушта 1980;Тбилиси;01.10;circular;15;2230;18
411696;Кубок мира 1960;Любляна;07.04;Swiss;12;2313;67
871738;Вейк-ан-Зее 1954;Хихон;20.07;Swiss;12;2435;143
345062;Балтийская цепь 2015;Осера;27.12;Swiss;7;2339;109
632135;Лондон 2011;Виго;01.02;Olympic;15;2545;28
808942;Гран-при ФИДЕ 1970;Ташкент;02.09;Swiss;10;2444;161
357554;Вена 1953;Фигерас;11.02;circular;8;2604;117
372243;Гран-при ФИДЕ 1957;Прага;15.05;Olympic;7;2602;94
954735;Сент-Луис 1975;Гранада;12.02;Olympic;13;2265;168
996361;Дортмунд 2016;Тбилиси;16.05;circular;14;2549;150
340621;Турнир претендентов 1962;Ташкент;14.07;circular;15;2211;64
500840;Тилбург 2003;Тарраса;08.10;Swiss;11;2650;127
400770;Гран-при ФИДЕ 2003;Кишинев;15.05;Swiss;15;2524;113
804848;Лондон 1957;Осера;05.08;Swiss;11;2531;151
102116;Пойковский 2017;Минск;01.05;Olympic;6;2504;127
640479;Вена 2024;Малага;20.07;Swiss;15;2453;176
828693;Балтийская цепь 2003;Вильявисиоса;07.08;Swiss;10;2488;62
142398;Цюрих 1959;Санкт-Петербург;14.05;Swiss;14;2355;116
761071;Сент-Луис 1954;Кадакес;21.04;Swiss;12;2344;32
